id,location_region_name,location_city_name,location_district_name,last_refresh_time,price_usd,land_area,Land_for_garden,Land_for_construction,Industrial_land,Agricultural_land,Price_per_sotix
53318286,Ташкентская область,Келес,0,2024-05-13,220000.0,10,1,0,0,0,22000.0
57629279,Ташкентская область,Янгибазар,0,2025-01-31,40000.0,4,0,1,0,0,40000.0
56406279,Ташкентская область,Кибрай,0,2025-04-25,,8,0,1,0,0,
54096129,Ташкентская область,Ташкент,Сергелийский район,2024-05-20,180000.0,4,0,1,0,0,45000.0
52021844,Ташкентская область,Ташкент,Чиланзарский район,2024-12-28,40000.0,36,0,1,0,0,40000.0
55282855,Ташкентская область,Ташкент,Сергелийский район,2024-10-11,2000.0,4,0,1,0,0,2000.0
55825068,Ташкентская область,Ташкент,Юнусабадский район,2024-09-23,80000.0,63,0,1,0,0,1270.0
53983128,Ташкентская область,Ташкент,Яшнабадский район,2025-06-16,21000.0,4,0,1,0,0,21000.0
54336752,Ташкентская область,Ташкент,Сергелийский район,2024-10-10,360000.0,8,0,1,0,0,45000.0
55419312,Ташкентская область,Нурафшан (Тойтепа),0,2024-07-22,6200.0,15,0,1,0,0,6200.0
54688555,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-08-13,33000.0,7,0,1,0,0,33000.0
51833625,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-04-30,215000.0,5,0,1,0,0,43000.0
57308309,Ташкентская область,Красногорск,0,2025-05-27,17000.0,10,0,1,0,0,17000.0
49952417,Ташкентская область,Алмалык,0,2024-11-09,5000.0,75,0,1,0,0,5000.0
49122051,Ташкентская область,Коксарай,0,2025-07-01,15000.0,8,0,1,0,0,15000.0
54470939,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-11-01,340000.0,4,0,1,0,0,85000.0
50471064,Ташкентская область,Зангиата,0,2024-06-01,7000.0,210,0,1,0,0,7000.0
51107910,Ташкентская область,Ташкент,Бектемирский район,2024-07-22,105000.0,82,0,1,0,0,1280.0
57967257,Ташкентская область,Бука,0,2025-01-14,16000.0,6,0,1,0,0,16000.0
53792902,Ташкентская область,Ташкент,Мирабадский район,2024-11-09,150500.0,4,0,1,0,0,37625.0
54092071,Ташкентская область,Ташкент,Яккасарайский район,2024-08-18,25000.0,6,1,0,0,0,25000.0
46702020,Ташкентская область,Бекабад,0,2024-11-13,12000.0,9,0,1,0,0,12000.0
52185292,Ташкентская область,Келес,0,2025-03-07,45000.0,400,0,1,0,0,45000.0
58312420,Ташкентская область,Ташкент,Сергелийский район,2025-02-25,4000.0,200,0,0,1,0,4000.0
52692200,Ташкентская область,Ташкент,Сергелийский район,2025-06-19,480000.0,26,0,1,0,0,18462.0
54609713,Ташкентская область,Чирчик,0,2024-06-30,31200.0,6,0,1,0,0,31200.0
54606910,Ташкентская область,Ташкент,Яшнабадский район,2024-07-29,350000.0,20,0,1,0,0,17500.0
55238546,Ташкентская область,Ташкент,Мирабадский район,2024-09-08,35000.0,50,0,1,0,0,35000.0
53960788,Ташкентская область,Ташморе,0,2024-04-21,12000.0,6,0,1,0,0,12000.0
56909701,Ташкентская область,Зангиата,0,2025-06-30,25000.0,7,1,0,0,0,25000.0
45344960,Ташкентская область,Пскент,0,2024-07-21,12000.0,14,0,0,0,0,12000.0
